Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-03-10,65.11,65.26,64.75,64.93,19538245.0,0.0,1.0,62.98645044641793,63.13155822658938,62.638191774006465,62.8123211102122,19538245.0
2017-03-13,65.01,65.195,64.57,64.71,20100035.0,0.0,1.0,62.88971192630364,63.06867818851507,62.46406243780073,62.59949636596074,20100035.0
2017-03-14,64.53,64.55,64.15,64.41,14280202.0,0.0,1.0,62.425367029755016,62.44471473377787,62.0577606533207,62.30928080561786,14280202.0
2017-03-15,64.55,64.92,64.25,64.75,24833810.0,0.0,1.0,62.44471473377787,62.80264725820077,62.154499173434985,62.638191774006465,24833810.0
2017-03-16,64.75,64.76,64.3,64.64,20674296.0,0.0,1.0,62.638191774006465,62.647865626017904,62.202868433492135,62.53177940188074,20674296.0
2017-03-17,64.91,65.24,64.68,64.87,49219686.0,0.0,1.0,62.79297340618933,63.112210522566514,62.570474809926466,62.75427799814363,49219686.0
2017-03-20,64.91,65.175,64.72,64.93,14598083.0,0.0,1.0,62.79297340618933,63.04933048449222,62.60917021797218,62.8123211102122,14598083.0
2017-03-21,65.19,65.5,64.13,64.21,26640480.0,0.0,1.0,63.063841262509364,63.36373067486368,62.03841294929783,62.115803765389266,26640480.0
2017-03-22,64.12,65.14,64.12,65.03,20680015.0,0.0,1.0,62.028739097286405,63.01547200245222,62.028739097286405,62.909059630326496,20680015.0
2017-03-23,64.94,65.235,64.765,64.87,19269203.0,0.0,1.0,62.82199496222363,63.1073735965608,62.65270255202361,62.75427799814363,19269203.0
2017-03-24,65.36,65.45,64.76,64.98,22617105.0,0.0,1.0,63.22829674670367,63.31536141480654,62.647865626017904,62.86069037026935,22617105.0
2017-03-27,64.63,65.22,64.35,65.1,18614662.0,0.0,1.0,62.52210554986931,63.09286281854366,62.25123769354928,62.976776594406495,18614662.0
2017-03-28,64.96,65.47,64.65,65.29,20080358.0,0.0,1.0,62.84134266624648,63.334709118829394,62.54145325389218,63.16057978262367,20080358.0
2017-03-29,65.12,65.5,64.9475,65.47,13618424.0,0.0,1.0,62.996124298429365,63.36373067486368,62.829250351232204,63.334709118829394,13618424.0
2017-03-30,65.42,65.98,65.36,65.71,15122823.0,0.0,1.0,63.28633985877225,63.828075571412306,63.22829674670367,63.5668815671037,15122823.0
2017-03-31,65.65,66.19,65.45,65.86,21040331.0,0.0,1.0,63.50883845503513,64.03122646365232,63.31536141480654,63.71198934727515,21040331.0
2017-04-03,65.81,65.94,65.19,65.55,20400871.0,0.0,1.0,63.663620087218,63.78938016336658,63.063841262509364,63.41209993492083,20400871.0
2017-04-04,65.39,65.81,65.28,65.73,12997449.0,0.0,1.0,63.25731830273796,63.663620087218,63.15090593061223,63.58622927112657,12997449.0
2017-04-05,66.3,66.35,65.4443,65.56,21448594.0,0.0,1.0,64.13763883577805,64.18600809583519,63.30984731916002,63.42177378693226,21448594.0
2017-04-06,65.6,66.055,65.48,65.73,18103453.0,0.0,1.0,63.460469194977975,63.900629461498035,63.344382970840826,63.58622927112657,18103453.0
2017-04-07,65.85,65.96,65.44,65.68,14089274.0,0.0,1.0,63.70231549526371,63.808727867389436,63.30568756279511,63.53786001106942,14089274.0
2017-04-10,65.61,65.82,65.36,65.53,17952742.0,0.0,1.0,63.470143046989406,63.673293939229424,63.22829674670367,63.392752230897976,17952742.0
2017-04-11,65.6,65.61,64.85,65.48,18791533.0,0.0,1.0,63.460469194977975,63.470143046989406,62.73493029412076,63.344382970840826,18791533.0
2017-04-12,65.42,65.51,65.11,65.23,17108513.0,0.0,1.0,63.28633985877225,63.37340452687512,62.98645044641793,63.10253667055509,17108513.0
2017-04-13,65.29,65.86,64.95,64.95,17896483.0,0.0,1.0,63.16057978262367,63.71198934727515,62.83166881423506,62.83166881423506,17896483.0
2017-04-17,65.04,65.49,65.01,65.48,16689265.0,0.0,1.0,62.91873348233793,63.35405682285225,62.88971192630364,63.344382970840826,16689265.0
2017-04-18,65.33,65.71,65.16,65.39,15155611.0,0.0,1.0,63.19927519066938,63.5668815671037,63.034819706475076,63.25731830273796,15155611.0
2017-04-19,65.65,65.75,64.89,65.04,26992771.0,0.0,1.0,63.50883845503513,63.605576975149425,62.773625702166484,62.91873348233793,26992771.0
2017-04-20,65.46,65.75,65.14,65.5,22299477.0,0.0,1.0,63.32503526681796,63.605576975149425,63.01547200245222,63.36373067486368,22299477.0
2017-04-21,65.67,66.7,65.45,66.4,32522645.0,0.0,1.0,63.52818615905799,64.52459291623524,63.31536141480654,64.23437735589235,32522645.0
2017-04-24,67.48,67.66,67.1,67.53,29721254.0,0.0,1.0,65.27915337312675,65.45328270933247,64.91154699669241,65.32752263318389,29721254.0
2017-04-25,67.9,68.04,67.6,67.92,30242730.0,0.0,1.0,65.68545515760678,65.8208890857668,65.39523959726388,65.70480286162964,30242730.0
2017-04-26,68.08,68.31,67.62,67.83,26190770.0,0.0,1.0,65.8595844938125,66.0820830900754,65.41458730128676,65.61773819352678,26190770.0
2017-04-27,68.15,68.38,67.58,68.27,34970953.0,0.0,1.0,65.92730145789253,66.14980005415539,65.37589189324103,66.04338768202967,34970953.0
2017-04-28,68.91,69.14,67.69,68.46,39548818.0,0.0,1.0,66.66251421076116,66.88501280702405,65.48230426536676,66.22719087024683,39548818.0
2017-05-01,68.68,69.55,68.5,69.41,31954362.0,0.0,1.0,66.4400156144983,67.28164073949266,66.26588627829256,67.14620681133265,31954362.0
2017-05-02,69.71,69.71,69.13,69.3,23906119.0,0.0,1.0,67.43642237167553,67.43642237167553,66.87533895501261,67.03979443920691,23906119.0
2017-05-03,69.38,69.38,68.71,69.08,28927973.0,0.0,1.0,67.11718525529835,67.11718525529835,66.46903717053257,66.82696969495547,28927973.0
2017-05-04,69.03,69.08,68.64,68.81,21749409.0,0.0,1.0,66.77860043489832,66.82696969495547,66.40132020645257,66.56577569064687,21749409.0
2017-05-05,68.9,69.03,68.485,69.0,19128782.0,0.0,1.0,66.65284035874974,66.77860043489832,66.25137550027542,66.74957887886403,19128782.0
2017-05-08,68.97,69.05,68.42,68.94,18566087.0,0.0,1.0,66.72055732282975,66.79794813892119,66.18849546220112,66.69153576679545,18566087.0
2017-05-09,68.86,69.28,68.68,69.04,22858414.0,0.0,1.0,66.61414495070402,67.02044673518407,66.4400156144983,66.78827428690975,22858414.0
2017-05-10,68.99,69.56,68.92,69.31,17977830.0,0.0,1.0,66.7399050268526,67.29131459150409,66.6721880627726,67.04946829121835,17977830.0
2017-05-11,68.36,68.73,68.12,68.46,28789413.0,0.0,1.0,66.13045235013254,66.48838487455544,65.89827990185823,66.22719087024683,28789413.0
2017-05-12,68.61,68.61,68.04,68.38,18714123.0,0.0,1.0,66.37229865041827,66.37229865041827,65.8208890857668,66.14980005415539,18714123.0
2017-05-15,68.14,68.48,67.57,68.43,31530301.0,0.0,1.0,65.9176276058811,66.2465385742697,65.3662180412296,66.19816931421255,31530301.0
2017-05-16,68.23,69.44,68.16,69.41,34956038.0,0.39,1.0,66.3755585754802,67.55267166175209,66.30746112420826,67.5234870397784,34956038.0
2017-05-17,68.89,69.1,67.43,67.48,30548781.0,0.0,1.0,67.01762025890123,67.221912612717,65.59730198951532,65.64594302613811,30548781.0
